"path","category","source","source_sha256","export_strategy","symbol","frame","output_sha256","bytes"
"shell/farm-tools/pesticide.png","shell/farm-tools","ui/main/farmui_full_v_32.swf","990b66553de0401e9555ea04aaafb8208d16a5ad124145107edb1e4aed2999e8","button-up","491:ToolPesticide","1","2d6ba1bab4d7fbccfbf80c8ebcc825d99944d265fb45adfd33991bad6569d6c8","3130"
"shell/farm-tools/insect.png","shell/farm-tools","ui/main/farmui_full_v_32.swf","990b66553de0401e9555ea04aaafb8208d16a5ad124145107edb1e4aed2999e8","button-up","493:ToolInsect","1","1ef12d9ded845d6b9329cbf0f401a6e45666f51df8e65fa4648b0bfda68da14c","2290"
"shell/farm-tools/hook.png","shell/farm-tools","ui/main/farmui_full_v_32.swf","990b66553de0401e9555ea04aaafb8208d16a5ad124145107edb1e4aed2999e8","button-up","495:ToolHook","1","f71b94c7ca64c2111402bd52b9b3a72228a50963d9a66b5a71652a9d69b2f82d","3428"
"shell/farm-tools/hoe.png","shell/farm-tools","ui/main/farmui_full_v_32.swf","990b66553de0401e9555ea04aaafb8208d16a5ad124145107edb1e4aed2999e8","button-up","497:ToolHoe","1","204eee41f832030fd38ac41b71515bf853ddef59dc515daa1ad9f72d5b26f944","2930"
"shell/farm-tools/zoom-out.png","shell/farm-tools","ui/main/farmui_full_v_32.swf","990b66553de0401e9555ea04aaafb8208d16a5ad124145107edb1e4aed2999e8","button-up","502:ToolZoomOut","1","ba2d68536f6e0aeb4141a9b31cbdae7d349f8be57eeddba5a2bc945782f1affc","3301"
"shell/farm-tools/zoom-in.png","shell/farm-tools","ui/main/farmui_full_v_32.swf","990b66553de0401e9555ea04aaafb8208d16a5ad124145107edb1e4aed2999e8","button-up","506:ToolZoomIn","1","90a5351f208b91d773a95ffe87a012388473a9f2908b1c5bb891dfd50aa12055","3290"
"shell/pasture-tools/hand.png","shell/pasture-tools","mc/main/farmui1_v_40.swf","6a5dfd3936baffd34fa0264aae984c54f1d417a35c23ae99d2a8d7805a2363c5","button-up","212:Cursor","1","de22dfa489cf2340ebac352582c5a4db81e5df4a823697eb7898312a6215932b","1905"
"shell/pasture-tools/animal.png","shell/pasture-tools","mc/main/farmui1_v_40.swf","6a5dfd3936baffd34fa0264aae984c54f1d417a35c23ae99d2a8d7805a2363c5","button-up","214:ButtonSeed","1","ff01babb58948cfbc1fdeb4bd865193dbec61d95485cf209ba84059239613199","3377"
"shell/pasture-tools/flapper.png","shell/pasture-tools","mc/main/farmui1_v_40.swf","6a5dfd3936baffd34fa0264aae984c54f1d417a35c23ae99d2a8d7805a2363c5","button-up","216:FlapperButton","1","35b434eebf4de70a359603f4f2aa6f02ec691a9a313caa8b9a2f068660c44309","2880"
"shell/pasture-tools/fly.png","shell/pasture-tools","mc/main/farmui1_v_40.swf","6a5dfd3936baffd34fa0264aae984c54f1d417a35c23ae99d2a8d7805a2363c5","button-up","218:FlyButton","1","180e65813f5ab6e2dbd5ce534c68e87b1ada218fe5a0eaaab8dc3970f3204704","2881"
"shell/pasture-tools/produce.png","shell/pasture-tools","mc/main/farmui1_v_40.swf","6a5dfd3936baffd34fa0264aae984c54f1d417a35c23ae99d2a8d7805a2363c5","button-up","220:ShengChanButton","1","64e25c322445cee849c7baff8b373c448e303f15a674097c51603d9d3c12807d","1957"
"shell/pasture-tools/steal.png","shell/pasture-tools","mc/main/farmui1_v_40.swf","6a5dfd3936baffd34fa0264aae984c54f1d417a35c23ae99d2a8d7805a2363c5","button-up","164:ButtonTheft","1","a77f389b0f73403ac5238e586e3f53f3f099b0128666cc9bd4893d73ecdb1f83","2155"
"shell/pasture-tools/whistle.png","shell/pasture-tools","mc/main/farmui1_v_40.swf","6a5dfd3936baffd34fa0264aae984c54f1d417a35c23ae99d2a8d7805a2363c5","button-up","160:WhistleButton","1","bf55f07f561875cccbc904e0464800821007e0fd9afb87618b64d9240a02cebc","2939"
"shell/pasture-tools/poop.png","shell/pasture-tools","mc/main/farmui1_v_40.swf","6a5dfd3936baffd34fa0264aae984c54f1d417a35c23ae99d2a8d7805a2363c5","button-up","76:BBButton","1","0bc0b854634e1a10ddfc1c579d2c18ded1a1f34a33850bf1cf09b712ada6c486","2735"
