"source_id","name","runtime_status","state_key","source_character_id","source_export_file","source_sha256","runtime_asset","runtime_sha256","visual_review_status","processing_status"
"1007","乌龟","6","lifecycle_complete","103","a1007.swf/DefineSprite_103_Animal_1007_6/1.png","09bc02ad0f3189f1e24297e3015f269f875f9bac239829e09cb58a1bcae080cc","apps/web/public/assets/manor/classic/pasture/animals/1007/lifecycle_complete.png","09bc02ad0f3189f1e24297e3015f269f875f9bac239829e09cb58a1bcae080cc","reviewed-ok","ready"
"1017","炫舞龟","1","cub","113","a1017.swf/DefineSprite_113_Animal_1017_1/1.png","dd9cb560df6f58eb9db5bee93d45b3b82a2554452f6d89c3314b5311547a4ff8","apps/web/public/assets/manor/classic/pasture/animals/1017/cub.png","dd9cb560df6f58eb9db5bee93d45b3b82a2554452f6d89c3314b5311547a4ff8","reviewed-ok","ready"
"1017","炫舞龟","2","growing","84","a1017.swf/DefineSprite_84_Animal_1017_2/1.png","88b78c4ecf2453a2e7edf4b06d23f22248e7f7a27ae3142f6b88b5736fa3bd11","apps/web/public/assets/manor/classic/pasture/animals/1017/growing.png","88b78c4ecf2453a2e7edf4b06d23f22248e7f7a27ae3142f6b88b5736fa3bd11","reviewed-ok","ready"
"1017","炫舞龟","3","ready_to_produce","71","a1017.swf/DefineSprite_71_Animal_1017_3/1.png","82a120f9573e864d6b7d44ea2fc77399bbb93d35545db18836554f59434838a8","apps/web/public/assets/manor/classic/pasture/animals/1017/ready_to_produce.png","82a120f9573e864d6b7d44ea2fc77399bbb93d35545db18836554f59434838a8","reviewed-ok","ready"
"1017","炫舞龟","4","production_early","10","a1017.swf/DefineSprite_10_Animal_1017_4/1.png","3f6209ee37027910c47b018aeb2a506018730053d81f64ee00b96265cb4f3e05","apps/web/public/assets/manor/classic/pasture/animals/1017/production_early.png","3f6209ee37027910c47b018aeb2a506018730053d81f64ee00b96265cb4f3e05","reviewed-ok","ready"
"1017","炫舞龟","5","production_late","80","a1017.swf/DefineSprite_80_Animal_1017_5/1.png","50cee32b27170918bf248952181b66328348280007021c49c93fe64a6b3fa47a","apps/web/public/assets/manor/classic/pasture/animals/1017/production_late.png","50cee32b27170918bf248952181b66328348280007021c49c93fe64a6b3fa47a","reviewed-ok","ready"
"1017","炫舞龟","6","lifecycle_complete","45","a1017.swf/DefineSprite_45_Animal_1017_6/1.png","16c39d8c8a9e186321ca97d33d47cae525fb778f8220aa4b4e255b0feee273b6","apps/web/public/assets/manor/classic/pasture/animals/1017/lifecycle_complete.png","16c39d8c8a9e186321ca97d33d47cae525fb778f8220aa4b4e255b0feee273b6","reviewed-ok","ready"
"1505","梅花鹿","1","cub","66","a1505.swf/DefineSprite_66_Animal_1505_1/1.png","3e381207e12337ad5fc1b195a12602ffc7bbdc7ced03c4f6daf4ad2e83a91379","apps/web/public/assets/manor/classic/pasture/animals/1505/cub.png","3e381207e12337ad5fc1b195a12602ffc7bbdc7ced03c4f6daf4ad2e83a91379","reviewed-ok","ready"
"1505","梅花鹿","2","growing","134","a1505.swf/DefineSprite_134_Animal_1505_2/1.png","f5376399a24e28e41b7d9570d3dfd75cce3551ac37f47d4d8fc489f21d0387f3","apps/web/public/assets/manor/classic/pasture/animals/1505/growing.png","f5376399a24e28e41b7d9570d3dfd75cce3551ac37f47d4d8fc489f21d0387f3","reviewed-ok","ready"
"1505","梅花鹿","3","ready_to_produce","208","a1505.swf/DefineSprite_208_Animal_1505_3/1.png","ee0528523e1f5c69746c84789bf5026d45dfc1c86ee8fc580fc9792ab851d2f2","apps/web/public/assets/manor/classic/pasture/animals/1505/ready_to_produce.png","ee0528523e1f5c69746c84789bf5026d45dfc1c86ee8fc580fc9792ab851d2f2","reviewed-ok","ready"
"1505","梅花鹿","4","production_early","165","a1505.swf/DefineSprite_165_Animal_1505_4/1.png","05a5c88950d81afe47913e2a5def4a1a957146bbab9efc43763beea25403ea54","apps/web/public/assets/manor/classic/pasture/animals/1505/production_early.png","05a5c88950d81afe47913e2a5def4a1a957146bbab9efc43763beea25403ea54","reviewed-ok","ready"
"1505","梅花鹿","5","production_late","156","a1505.swf/DefineSprite_156_Animal_1505_5/1.png","c2e73a03e5f242f2b14d21b79a6b204fe4a802523fd7123077b6ede0ce84e45f","apps/web/public/assets/manor/classic/pasture/animals/1505/production_late.png","c2e73a03e5f242f2b14d21b79a6b204fe4a802523fd7123077b6ede0ce84e45f","reviewed-ok","ready"
"1505","梅花鹿","6","lifecycle_complete","226","a1505.swf/DefineSprite_226_Animal_1505_6/1.png","c0e4d2320b763da5c67392234998f31471cda17ed5e97ca470b9a924ce39744e","apps/web/public/assets/manor/classic/pasture/animals/1505/lifecycle_complete.png","c0e4d2320b763da5c67392234998f31471cda17ed5e97ca470b9a924ce39744e","reviewed-ok","ready"
"1008","松鼠","1","cub","103","a1008.swf/DefineSprite_103_Animal_1008_1/1.png","9ba8a5e910a04977bc5edf641de018c738fb24f4f9e2542c10ce9d45b1ddfbc8","apps/web/public/assets/manor/classic/pasture/animals/1008/cub.png","9ba8a5e910a04977bc5edf641de018c738fb24f4f9e2542c10ce9d45b1ddfbc8","reviewed-ok","ready"
"1008","松鼠","2","growing","155","a1008.swf/DefineSprite_155_Animal_1008_2/1.png","ce8cdfc8ebab8fe8f42eb8caed0e3aeab8485db512408488d223a51dc82db6a1","apps/web/public/assets/manor/classic/pasture/animals/1008/growing.png","ce8cdfc8ebab8fe8f42eb8caed0e3aeab8485db512408488d223a51dc82db6a1","reviewed-ok","ready"
"1008","松鼠","3","ready_to_produce","238","a1008.swf/DefineSprite_238_Animal_1008_3/1.png","5eb8baf53e1fba39eb11d9293a7f1ac1e83d5a6f9898519d3f23f2a2d2773717","apps/web/public/assets/manor/classic/pasture/animals/1008/ready_to_produce.png","5eb8baf53e1fba39eb11d9293a7f1ac1e83d5a6f9898519d3f23f2a2d2773717","reviewed-ok","ready"
"1008","松鼠","4","production_early","31","a1008.swf/DefineSprite_31_Animal_1008_4/1.png","8b63ce158f0a4c34c544cdc0649f373acb812271368d0557660a93f7728a8aa4","apps/web/public/assets/manor/classic/pasture/animals/1008/production_early.png","8b63ce158f0a4c34c544cdc0649f373acb812271368d0557660a93f7728a8aa4","reviewed-ok","ready"
"1008","松鼠","5","production_late","211","a1008.swf/DefineSprite_211_Animal_1008_5/1.png","5e363634038bfa6155b268e8572b1a96e9e309e8703eef4ed5f08fe370adcbab","apps/web/public/assets/manor/classic/pasture/animals/1008/production_late.png","5e363634038bfa6155b268e8572b1a96e9e309e8703eef4ed5f08fe370adcbab","reviewed-ok","ready"
"1008","松鼠","6","lifecycle_complete","195","a1008.swf/DefineSprite_195_Animal_1008_6/1.png","3cca904dbdb506860ba9e6a793c371e3a3a5170b051df7c2054051fbbe6b2bd5","apps/web/public/assets/manor/classic/pasture/animals/1008/lifecycle_complete.png","3cca904dbdb506860ba9e6a793c371e3a3a5170b051df7c2054051fbbe6b2bd5","reviewed-ok","ready"
"1009","波斯猫","1","cub","143","a1009.swf/DefineSprite_143_Animal_1009_1/1.png","aa3c66e53d1c7be0c1fa6c29b404892f0f2d621e760f3fe9bb16bc51a524d172","apps/web/public/assets/manor/classic/pasture/animals/1009/cub.png","aa3c66e53d1c7be0c1fa6c29b404892f0f2d621e760f3fe9bb16bc51a524d172","reviewed-ok","ready"
"1009","波斯猫","2","growing","117","a1009.swf/DefineSprite_117_Animal_1009_2/1.png","74ffffe540b89289277a6937838b61ba8f3f072fa99bdb8ec36e37eb34000f70","apps/web/public/assets/manor/classic/pasture/animals/1009/growing.png","74ffffe540b89289277a6937838b61ba8f3f072fa99bdb8ec36e37eb34000f70","reviewed-ok","ready"
"1009","波斯猫","3","ready_to_produce","64","a1009.swf/DefineSprite_64_Animal_1009_3/1.png","a6c588767c5d3b31f141a5a70c32464bc63c0e2abf63a65eb899c3b4c9ce0fc0","apps/web/public/assets/manor/classic/pasture/animals/1009/ready_to_produce.png","a6c588767c5d3b31f141a5a70c32464bc63c0e2abf63a65eb899c3b4c9ce0fc0","reviewed-ok","ready"
"1009","波斯猫","4","production_early","16","a1009.swf/DefineSprite_16_Animal_1009_4/1.png","57024f6a7e6ae59cf521bcfdd5ccb3c173d5cb54912aa68a3d0fb33f0258a511","apps/web/public/assets/manor/classic/pasture/animals/1009/production_early.png","57024f6a7e6ae59cf521bcfdd5ccb3c173d5cb54912aa68a3d0fb33f0258a511","reviewed-ok","ready"
"1009","波斯猫","5","production_late","71","a1009.swf/DefineSprite_71_Animal_1009_5/1.png","7037e18efcb4d10b5e3fb34ebc80b0d1180effcc734450ba4741227e79566d8b","apps/web/public/assets/manor/classic/pasture/animals/1009/production_late.png","7037e18efcb4d10b5e3fb34ebc80b0d1180effcc734450ba4741227e79566d8b","reviewed-ok","ready"
"1009","波斯猫","6","lifecycle_complete","81","a1009.swf/DefineSprite_81_Animal_1009_6/1.png","943c795f79b35b52acfff2b175cf72c3de96e552b83e7f73f0515186e3802403","apps/web/public/assets/manor/classic/pasture/animals/1009/lifecycle_complete.png","943c795f79b35b52acfff2b175cf72c3de96e552b83e7f73f0515186e3802403","reviewed-ok","ready"
