"animal_id","animal_name","variant","integration_policy","source_file","container_sha256","source_character_id","source_export_file","source_audio_sha256","runtime_asset","runtime_sha256","duration_seconds","processing_method","processing_status"
"1001","鸡","1","default","module/mc/main/sound/animal/1/s1001.swf","52f3c03ca46ddc8bd4d7daed6cbc240654ebb6ff0fe8b1c0e203be6a4332975d","1","data/manor-asset-work/pasture-sound-export/1001-1/1_Sound_1_1001.mp3","a8a547c36f1ac1d29d7a2e31857e6e79583e99d0f45f16931b552a386cf1780c","apps/web/public/assets/manor/classic/pasture/audio/1001/1.mp3","a8a547c36f1ac1d29d7a2e31857e6e79583e99d0f45f16931b552a386cf1780c","1.012154","copied","ready"
"1001","鸡","2","default","module/mc/main/sound/animal/2/s1001.swf","1b15fc6915fdbb401938f7fb7ea70c2aa3917d5d1fecf2493fd086d930fdc453","1","data/manor-asset-work/pasture-sound-export/1001-2/1_Sound_2_1001.mp3","e1b1e6218df3e82eb1fd1de107b8416ad70417172541b183b1348c58b52a846e","apps/web/public/assets/manor/classic/pasture/audio/1001/2.mp3","e1b1e6218df3e82eb1fd1de107b8416ad70417172541b183b1348c58b52a846e","1.384490","copied","ready"
"1002","兔子","1","default","module/mc/main/sound/animal/1/s1002.swf","adfc5b24d3ea61df192fa64f44fa678f7f71f76a0407faa43e3745b519bdd81d","1","data/manor-asset-work/pasture-sound-export/1002-1/1_Sound_1_1002.mp3","0cd5066f23adf7a8e540669228c9983d94c1373e8a9eb7ece7dbfb3882ccc889","apps/web/public/assets/manor/classic/pasture/audio/1002/1.mp3","0cd5066f23adf7a8e540669228c9983d94c1373e8a9eb7ece7dbfb3882ccc889","0.400181","copied","ready"
"1002","兔子","2","default","module/mc/main/sound/animal/2/s1002.swf","4f96a3441afa62ef9e56d3d1db1534925b29171d20ce874630e082d49d64069e","1","data/manor-asset-work/pasture-sound-export/1002-2/1_Sound_2_1002.mp3","bbe9ad4ba67af9518064a8e1f8993479c0dfe23249cdf19cce013e0a77212db0","apps/web/public/assets/manor/classic/pasture/audio/1002/2.mp3","bbe9ad4ba67af9518064a8e1f8993479c0dfe23249cdf19cce013e0a77212db0","1.488980","copied","ready"
"1003","鹅","1","default","module/mc/main/sound/animal/1/s1003.swf","87e9d8c90529e60055561d2b600d945061151f9c2670ca0d8df12ff5062c9528","1","data/manor-asset-work/pasture-sound-export/1003-1/1_Sound_1_1003.mp3","8f82a09fca5b34e888d65db5a657bc32586c020158208f41d2960ebfb0efd557","apps/web/public/assets/manor/classic/pasture/audio/1003/1.mp3","8f82a09fca5b34e888d65db5a657bc32586c020158208f41d2960ebfb0efd557","0.692517","copied","ready"
"1003","鹅","2","default","module/mc/main/sound/animal/2/s1003.swf","3a940632e9cbaa746511487b039c8f8fd6cc6512d5a181b62e6db4f109a4bfd2","1","data/manor-asset-work/pasture-sound-export/1003-2/1_Sound_2_1003.mp3","ee597a1d35088a50b09828c0d03acbd7af8a0d796daaea2dec483e81aa61d444","apps/web/public/assets/manor/classic/pasture/audio/1003/2.mp3","ee597a1d35088a50b09828c0d03acbd7af8a0d796daaea2dec483e81aa61d444","1.488980","copied","ready"
"1004","猫","1","default","module/mc/main/sound/animal/1/s1004.swf","05b6cd109bdbb17f810eeca95c1725d5b782029163b99b8f6f994409824218c7","1","data/manor-asset-work/pasture-sound-export/1004-1/1_Sound_1_1004.mp3","8bc81bd39c5a889bd38452dc0a2a4fc8459678c513a3ac5eef2e5d2a84892d53","apps/web/public/assets/manor/classic/pasture/audio/1004/1.mp3","8bc81bd39c5a889bd38452dc0a2a4fc8459678c513a3ac5eef2e5d2a84892d53","0.903583","copied","ready"
"1004","猫","2","default","module/mc/main/sound/animal/2/s1004.swf","7d07a68739bc7c530e0094c03c42d30319b8d028423c896aa8b67b95bbf2224c","1","data/manor-asset-work/pasture-sound-export/1004-2/1_Sound_2_1004.mp3","5b56bb936f70c8c5ee94a570e8a48471a033e8cbb7c8554d5b4675b51637b40f","apps/web/public/assets/manor/classic/pasture/audio/1004/2.mp3","5b56bb936f70c8c5ee94a570e8a48471a033e8cbb7c8554d5b4675b51637b40f","1.410612","copied","ready"
"1005","孔雀","1","default","module/mc/main/sound/animal/1/s1005.swf","f69c586e5d986996739bf7e65f41133a174326ea053f35f892638afea2e65f32","1","data/manor-asset-work/pasture-sound-export/1005-1/1_Sound_1_1005.mp3","9306c772b45f875742c58ef74d20eefc5515534281d753b10589f07b0c3f1099","apps/web/public/assets/manor/classic/pasture/audio/1005/1.mp3","9306c772b45f875742c58ef74d20eefc5515534281d753b10589f07b0c3f1099","0.275193","copied","ready"
"1005","孔雀","2","default","module/mc/main/sound/animal/2/s1005.swf","6d0d285ffe36d9037528aebecf77431f043485f496fb57774a5d68e210e92a95","1","data/manor-asset-work/pasture-sound-export/1005-2/1_Sound_2_1005.mp3","fbda916b13f42b1aeb6cb84ee10a95b8606622fe5df08db105cced3069095b79","apps/web/public/assets/manor/classic/pasture/audio/1005/2.mp3","fbda916b13f42b1aeb6cb84ee10a95b8606622fe5df08db105cced3069095b79","1.724082","copied","ready"
"1006","企鹅","1","default","module/mc/main/sound/animal/1/s1006.swf","e2f8599b250e24da9618c47a4e9f11c471bde79aad1a0b4d49eff81d5ef2ea72","1","data/manor-asset-work/pasture-sound-export/1006-1/1_Sound_1_1006.mp3","b2e1713549f771954f1e18114135294003651d09f63dc7506f988320841bd906","apps/web/public/assets/manor/classic/pasture/audio/1006/1.mp3","b2e1713549f771954f1e18114135294003651d09f63dc7506f988320841bd906","1.109841","copied","ready"
"1006","企鹅","2","default","module/mc/main/sound/animal/2/s1006.swf","92bb0aeb7930cf229faa01f112350d51f2e68e6dc288e2c55f34897d90303026","1","data/manor-asset-work/pasture-sound-export/1006-2/1_Sound_2_1006.mp3","86ae59600ca4f73abd407a1ec0321b99d35611e68a191ad65990e08ae843ec44","apps/web/public/assets/manor/classic/pasture/audio/1006/2.mp3","86ae59600ca4f73abd407a1ec0321b99d35611e68a191ad65990e08ae843ec44","1.724082","copied","ready"
"1007","乌龟","2","available-only","module/mc/main/sound/animal/2/s1007.swf","1ba1dd7f22c04a0ca37378f5bcaba59b26531aab297ca3b5e584b6eac9c7874e","1","data/manor-asset-work/pasture-sound-export/1007-2/1_Sound_2_1007.mp3","9fa96d6d3a0812bbac2e486f6939cc8d2bf8fabdcc22156e7e20a4f0687e6ffe","apps/web/public/assets/manor/classic/pasture/audio/1007/2.mp3","9fa96d6d3a0812bbac2e486f6939cc8d2bf8fabdcc22156e7e20a4f0687e6ffe","1.593469","copied","ready"
"1008","松鼠","1","default","module/mc/main/sound/animal/1/s1008.swf","ff5c954f093f73cfe33624d6abd67c2ad18848382a13a2c053929d137000a919","1","data/manor-asset-work/pasture-sound-export/1008-1/1_Sound_1_1008.mp3","00e59b00e3b34e96c75c72bd11e3ae5761c845b9bb4f47eec6917ec27a9498cd","apps/web/public/assets/manor/classic/pasture/audio/1008/1.mp3","00e59b00e3b34e96c75c72bd11e3ae5761c845b9bb4f47eec6917ec27a9498cd","0.405624","copied","ready"
"1008","松鼠","2","default","module/mc/main/sound/animal/2/s1008.swf","10cd6ba58c93c0e68126309dc5c05fe70e0bc16a3798027d25f8e6535aedeb56","1","data/manor-asset-work/pasture-sound-export/1008-2/1_Sound_2_1008.mp3","7570e72c8ab1ae2cd7040e639e4caf9b2e0efec93ceb3c15164bf567199a1f57","apps/web/public/assets/manor/classic/pasture/audio/1008/2.mp3","7570e72c8ab1ae2cd7040e639e4caf9b2e0efec93ceb3c15164bf567199a1f57","1.724082","copied","ready"
"1009","波斯猫","1","default","module/mc/main/sound/animal/1/s1009.swf","d882842588b466fbbfce367fc0331bf53a040799ba7967c77d577a55cd0c1b9f","1","data/manor-asset-work/pasture-sound-export/1009-1/1_Sound_1_1009.mp3","11a195a1fb6d9c4b5c143a5189d731e819eea87a1864694081d01f26e2d6a4d5","apps/web/public/assets/manor/classic/pasture/audio/1009/1.mp3","11a195a1fb6d9c4b5c143a5189d731e819eea87a1864694081d01f26e2d6a4d5","1.129342","copied","ready"
