"source_id","name","original_level","runtime_status","state_key","state_label","source_class","source_character_id","source_export_file","source_sha256","exported_frame_count","width","height","visible_pixels","visible_x","visible_y","visible_width","visible_height","automated_status","visual_review_status"
"1017","炫舞龟","10","4","production_early","生产阶段一","Animal_1017_4","10","a1017.swf/DefineSprite_10_Animal_1017_4/1.png","3f6209ee37027910c47b018aeb2a506018730053d81f64ee00b96265cb4f3e05","1","71","42","2028","3","0","66","39","ready-for-visual-review","reviewed-ok"
"1017","炫舞龟","10","5","production_late","生产阶段二","Animal_1017_5","80","a1017.swf/DefineSprite_80_Animal_1017_5/1.png","50cee32b27170918bf248952181b66328348280007021c49c93fe64a6b3fa47a","1","71","51","2271","3","3","65","44","ready-for-visual-review","reviewed-ok"
"1017","炫舞龟","10","6","lifecycle_complete","生命周期结束","Animal_1017_6","45","a1017.swf/DefineSprite_45_Animal_1017_6/1.png","16c39d8c8a9e186321ca97d33d47cae525fb778f8220aa4b4e255b0feee273b6","1","71","51","2358","3","3","66","45","ready-for-visual-review","reviewed-ok"
"1505","梅花鹿","11","1","cub","幼年","Animal_1505_1","66","a1505.swf/DefineSprite_66_Animal_1505_1/1.png","3e381207e12337ad5fc1b195a12602ffc7bbdc7ced03c4f6daf4ad2e83a91379","1","49","69","2035","3","2","42","62","ready-for-visual-review","reviewed-ok"
"1505","梅花鹿","11","2","growing","成长","Animal_1505_2","134","a1505.swf/DefineSprite_134_Animal_1505_2/1.png","f5376399a24e28e41b7d9570d3dfd75cce3551ac37f47d4d8fc489f21d0387f3","1","61","83","3147","5","2","51","75","ready-for-visual-review","reviewed-ok"
"1505","梅花鹿","11","3","ready_to_produce","成熟待生产","Animal_1505_3","208","a1505.swf/DefineSprite_208_Animal_1505_3/1.png","ee0528523e1f5c69746c84789bf5026d45dfc1c86ee8fc580fc9792ab851d2f2","1","114","160","8474","6","11","95","140","ready-for-visual-review","reviewed-ok"
"1505","梅花鹿","11","4","production_early","生产阶段一","Animal_1505_4","165","a1505.swf/DefineSprite_165_Animal_1505_4/1.png","05a5c88950d81afe47913e2a5def4a1a957146bbab9efc43763beea25403ea54","1","79","105","4465","2","1","72","95","ready-for-visual-review","reviewed-ok"
"1505","梅花鹿","11","5","production_late","生产阶段二","Animal_1505_5","156","a1505.swf/DefineSprite_156_Animal_1505_5/1.png","c2e73a03e5f242f2b14d21b79a6b204fe4a802523fd7123077b6ede0ce84e45f","1","83","103","4820","8","4","66","91","ready-for-visual-review","reviewed-ok"
"1505","梅花鹿","11","6","lifecycle_complete","生命周期结束","Animal_1505_6","226","a1505.swf/DefineSprite_226_Animal_1505_6/1.png","c0e4d2320b763da5c67392234998f31471cda17ed5e97ca470b9a924ce39744e","1","85","113","6019","5","4","74","101","ready-for-visual-review","reviewed-ok"
"1008","松鼠","12","1","cub","幼年","Animal_1008_1","103","a1008.swf/DefineSprite_103_Animal_1008_1/1.png","9ba8a5e910a04977bc5edf641de018c738fb24f4f9e2542c10ce9d45b1ddfbc8","1","85","70","2170","12","9","62","51","ready-for-visual-review","reviewed-ok"
