"current_file","category","entity_id","entity_name","app_stage","app_stage_name","width","height","bytes","sha256","source_reference","source_character","mapping_status"
"assets/manor/classic/can-harvest.png","farm-status","","","","","94","38","3451","bbc450859e7217277dc927311603b4643fada18a60c0dd87b1cec8e48404579c","module/nc/main/farmui1_v_12.swf","138:canPickIcon","verified-source-symbol-near-exact"
"assets/manor/classic/close.png","ui","","","","","20","20","195","bb209454bc868f799e33a59adef7bedba4dc187ed2490595aa97e4e5e4fbc3b3","module/nc/main/farmui1_v_12.swf","306:CloseButton","verified-jpexs-export"
"assets/manor/classic/crop-cabbage-0.png","crop","cabbage","大白菜","0","seed","42","17","1197","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","module/nc/crops/Crop_59.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-cabbage-1.png","crop","cabbage","大白菜","1","sprout","42","30","1731","d7e701b80deac1e700f3561765c8b22abb3d3274703b37ec565d5d1ece054d81","module/nc/crops/Crop_59.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-cabbage-2.png","crop","cabbage","大白菜","2","growing","89","75","10463","1a05b48b16bb1df8a52dc52ac6d082a67b74b271f359915d3d162af2ce79bc75","module/nc/crops/Crop_59.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-cabbage-3.png","crop","cabbage","大白菜","3","mature","105","83","13276","a9dd8614f59ea006fb153524b9914552e96aa5c34ed3568f7596ca8c7d48cf20","module/nc/crops/Crop_59.swf","","verified-single-mature-sprite"
"assets/manor/classic/crop-carrot-0.png","crop","carrot","胡萝卜","0","seed","42","17","1197","0e04974b4e580ea85ea6caf89b457bf3a20e1fa43abdf31e1f8f95a65fdcbe1e","module/nc/crops/Crop_3.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-carrot-1.png","crop","carrot","胡萝卜","1","sprout","38","52","2468","f8bacbc69c95a34f8d3d932c047a1acba431987b0c03d8ca0e50dc7231ee1689","module/nc/crops/Crop_3.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-carrot-2.png","crop","carrot","胡萝卜","2","growing","64","79","8106","e58d57eb0af9230ccdbbf0588b0c01e10ecc71785d223f19180acedc291a84f9","module/nc/crops/Crop_3.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-carrot-3.png","crop","carrot","胡萝卜","3","mature","91","123","16580","dfcf41ae1a5af28b2936203a9ac8c7d1f7ed02fdb32f80efe743a81b74608ed3","module/nc/crops/Crop_3.swf","","verified-single-mature-sprite"
"assets/manor/classic/crop-chili-0.png","crop","chili","辣椒","0","seed","42","17","1197","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","module/nc/crops/Crop_9.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-chili-1.png","crop","chili","辣椒","1","sprout","57","50","3304","dfda7c2d9e4d852b8276403c323de905900ecf8c0a30bcbe4db57f9aef85b4ff","module/nc/crops/Crop_9.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-chili-2.png","crop","chili","辣椒","2","growing","117","115","18271","bc0c856bf26cc49d09eee67bd611d582ea597f0b289e0d98718a3a7c97f0de89","module/nc/crops/Crop_9.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-chili-3.png","crop","chili","辣椒","3","mature","130","128","23794","09b56b4e68c807406fa7b7b875ea296969b49401f229928e7485f20ba9014481","module/nc/crops/Crop_9.swf","","verified-single-mature-sprite"
"assets/manor/classic/crop-corn-0.png","crop","corn","玉米","0","seed","42","17","1192","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","module/nc/crops/Crop_4.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-corn-1.png","crop","corn","玉米","1","sprout","75","65","4768","bb94d861aede00382736e4557e56ffa5b81e22214438b2b8c074c58c941110b1","module/nc/crops/Crop_4.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-corn-2.png","crop","corn","玉米","2","growing","106","122","15683","b8a4953ba55775c10f33be2f96d0cd092c351a75aff1ec0319d463fa9d294f08","module/nc/crops/Crop_4.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-corn-3.png","crop","corn","玉米","3","mature","115","132","19103","84c3544931ba6b518f5e7fc78930c3da53b740e9a84675c6e276dbbdf173ddfd","module/nc/crops/Crop_4.swf","","verified-single-mature-sprite"
"assets/manor/classic/crop-eggplant-0.png","crop","eggplant","茄子","0","seed","42","17","1202","a77859d654afa00395552a1090d7fec9dbebb7561894ee3357108e9896f90351","module/nc/crops/Crop_6.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-eggplant-1.png","crop","eggplant","茄子","1","sprout","48","42","2682","70fd6a8060191500e7c640fdb3eb952c58c0a668379d69d92eaa5992270a082a","module/nc/crops/Crop_6.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-eggplant-2.png","crop","eggplant","茄子","2","growing","114","120","17086","38a677391480bcc5141ba74d5a498c3cc87584e60c642cd326f8e712291f3c17","module/nc/crops/Crop_6.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-eggplant-3.png","crop","eggplant","茄子","3","mature","114","120","20312","923fed7401e4418b3a035e0e69ba6f8d7f3b74ed49f714d32b3d15b5186d18a7","module/nc/crops/Crop_6.swf","","verified-single-mature-sprite"
"assets/manor/classic/crop-pea-0.png","crop","pea","豌豆","0","seed","42","17","1192","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","module/nc/crops/Crop_8.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-pea-1.png","crop","pea","豌豆","1","sprout","36","57","3176","b58b7c5d913064aad32e3ab3ba7dc6d21002de9e5f471166ed3ed46c44204419","module/nc/crops/Crop_8.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-pea-2.png","crop","pea","豌豆","2","growing","123","122","21182","d28e3d2201c608c40c555133426efc2d7d332283865939f35a30372938251da3","module/nc/crops/Crop_8.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-pea-3.png","crop","pea","豌豆","3","mature","123","122","23753","0b7fc03c058db9330b0e64828190e20f46adbfcb5e53555f13dfa359d477a006","module/nc/crops/Crop_8.swf","","verified-single-mature-sprite"
"assets/manor/classic/crop-potato-0.png","crop","potato","土豆","0","seed","42","17","1192","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","module/nc/crops/Crop_5.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-potato-1.png","crop","potato","土豆","1","sprout","40","56","3436","bbf78a84c873f5cb12a762402b4f6186c51a374044e100cf1f510a3b8c0bb736","module/nc/crops/Crop_5.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-potato-2.png","crop","potato","土豆","2","growing","110","93","15620","cf76157caa98d19243a27596be6dac9a81d16b1d2caa45e0e2719160c1014d0b","module/nc/crops/Crop_5.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-potato-3.png","crop","potato","土豆","3","mature","116","138","24103","87fc5023c31a4e1bba104506c70151481fb9179c1d7796521907c0d7c7cff394","module/nc/crops/Crop_5.swf","","verified-single-mature-sprite"
"assets/manor/classic/crop-pumpkin-0.png","crop","pumpkin","南瓜","0","seed","42","17","1192","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","module/nc/crops/Crop_10.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-pumpkin-1.png","crop","pumpkin","南瓜","1","sprout","33","40","2562","86b0c43fc1f39ad3c712c954ca58a0a543183bc316ba14ede9bb7976111ed805","module/nc/crops/Crop_10.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-pumpkin-2.png","crop","pumpkin","南瓜","2","growing","132","118","19555","2c393de9aa354f7858e1880b812ae7ddec71702cac1b69f6edcf3869cb1402bb","module/nc/crops/Crop_10.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-pumpkin-3.png","crop","pumpkin","南瓜","3","mature","113","117","22235","d6c82361d834a914a19edd545c3de270e7aadd2c9da731b9d46fea3d1f5258cb","module/nc/crops/Crop_10.swf","","verified-single-mature-sprite"
"assets/manor/classic/crop-radish-0.png","crop","radish","白萝卜","0","seed","42","17","1192","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","module/nc/crops/Crop_2.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-radish-1.png","crop","radish","白萝卜","1","sprout","38","52","2468","f8bacbc69c95a34f8d3d932c047a1acba431987b0c03d8ca0e50dc7231ee1689","module/nc/crops/Crop_2.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-radish-2.png","crop","radish","白萝卜","2","growing","64","79","8122","189fa60aec1a9609d3b1bcaa34d985331fd82f26fadb4c9b75c8e948d520f9d5","module/nc/crops/Crop_2.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-radish-3.png","crop","radish","白萝卜","3","mature","135","210","27285","1f32d2a374651f75531a6b3ec03fa19a04fe5e78e642c9fccad9c1903bc07c05","module/nc/crops/Crop_2.swf","","verified-single-mature-sprite"
"assets/manor/classic/crop-rice-0.png","crop","rice","水稻","0","seed","42","17","1197","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","module/nc/crops/Crop_60.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-rice-1.png","crop","rice","水稻","1","sprout","18","63","531","a1a946fd6c9581cae15ba9f43d9bafe6649bbbfde9e016fb3e470b738fa552cd","module/nc/crops/Crop_60.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-rice-2.png","crop","rice","水稻","2","growing","112","118","15142","8e085a8b84400fd27711eedb90c606803eaf5e45100dcac27f31a8de043be945","module/nc/crops/Crop_60.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-rice-3.png","crop","rice","水稻","3","mature","121","130","19144","32b4303f67b5c8ee208250d6fa9d069923221897377c6618d9b6e7f2d194ef3d","module/nc/crops/Crop_60.swf","","verified-single-mature-sprite"
"assets/manor/classic/crop-tomato-0.png","crop","tomato","番茄","0","seed","42","17","1192","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","module/nc/crops/Crop_7.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-tomato-1.png","crop","tomato","番茄","1","sprout","68","46","4496","9151f63ee822e45726e100b2b71f698686fda8239df46dce873e3d7ca2cafc01","module/nc/crops/Crop_7.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-tomato-2.png","crop","tomato","番茄","2","growing","118","129","16647","51d6917fc1503bdff11bd7677d096d3ced80638adbc126935dfcf7272c1d8485","module/nc/crops/Crop_7.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-tomato-3.png","crop","tomato","番茄","3","mature","130","133","19150","7142f2a8c3727bc57e27766c7dda9857c98bbf3370e0888e68be8d1028355e4a","module/nc/crops/Crop_7.swf","","verified-single-mature-sprite"
"assets/manor/classic/crop-wheat-0.png","crop","wheat","小麦","0","seed","42","17","1197","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","module/nc/crops/Crop_61.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-wheat-1.png","crop","wheat","小麦","1","sprout","38","56","1676","ea1fcce785ce53a295ece236d1b5e9451c20b829f374b65093f9f962e73d8e18","module/nc/crops/Crop_61.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-wheat-2.png","crop","wheat","小麦","2","growing","113","122","13275","64ccec6890faf8f6b6d3b8ed26920a2a6f93b271680f4d1b9d72495380347fb3","module/nc/crops/Crop_61.swf","","object-mapped-state-needs-contact-sheet"
"assets/manor/classic/crop-wheat-3.png","crop","wheat","小麦","3","mature","116","131","18404","1ae5e82ba0c33c20fdeb7dcb441267047fe37c591a450dec3c2eaba50ab2bc2e","module/nc/crops/Crop_61.swf","","verified-single-mature-sprite"
"assets/manor/classic/exp-bg.png","ui","","","","","122","14","500","18919b9bb15e0fae5b7c825fbb91ed033d1b65e7548e6138c10c4740b3d2f19a","module/nc/main/farmui1_v_12.swf","267:ExpBlueBg","verified-jpexs-export"
"assets/manor/classic/exp-fill.png","ui","","","","","92","12","163","abb2d4f506bd3e0148c911368c4791ff39508bb85270348ac51e8cb2f69ab44f","module/nc/main/farmui1_v_12.swf","269:ExpBlue","verified-jpexs-export"
"assets/manor/classic/farm-background.png","scene","","","","","1024","800","319454","f0335fb9fb3ad815e561177ca3d5ea13963db4b1bc9f6dbdeefab4a6742f26f1","module/nc/main/farmui1_v_12.swf","1:DefaultBg","verified-embedded-image-source"
"assets/manor/classic/fertilizer-fast.png","ui","","","","","45","53","3601","0d9be506abf5f39a51ba7456c9b7947c5abf414239879fe8c18a08a1589e6569","module/nc/main/farmui1_v_12.swf","164:FertilizerFast","verified-jpexs-export"
"assets/manor/classic/fertilizer-instant.png","ui","","","","","45","52","4150","24249ff6178d3e486e7bca0b5bbba3604c61e27a1488ab25c62aedb5fd2fa6b5","module/nc/main/farmui1_v_12.swf","170:FertilizerVeryFast","verified-jpexs-export"
"assets/manor/classic/fertilizer.png","ui","","","","","45","53","3249","8d01f2eb7eef671506fcb99ad7a13ffa1c52ae509e77a90f7561a79aa8b8c39a","module/nc/main/farmui1_v_12.swf","157:Fertilizer","verified-jpexs-export"
"assets/manor/classic/head-bg.png","ui","","","","","870","68","17973","d8101d12ef265d4536c25cf79c94a47a6f1f4e5a00b2ebfeb7700c3eb41558cf","module/nc/main/farmui1_v_12.swf","265:HeadBg","verified-jpexs-export"
"assets/manor/classic/insect.png","farm-status","","","","","24","13","725","a03ab74771984d4ddcaf282b681509b6705bb3c504ad0141ba4b1fe56a126205","module/nc/main/farmui1_v_12.swf","257:Insect","verified-jpexs-export"
"assets/manor/classic/item-bg.png","ui","","","","","61","61","495","a533af8b145044cf144a9254a353de0e9d4c17731f8d83dcfa03f7a851ad48d4","module/nc/main/farmui1_v_12.swf","314:ItemBg","verified-jpexs-export"
"assets/manor/classic/land-arid-fertile.png","land","","","","","200","100","28491","32eeb954d7870745f32798c2efb700c03ffbcb934606f34f569b16357db247cf","module/nc/main/farmui2_v_4.swf","59:com.qzone.ui.FarmlandG2","verified-jpexs-export"
"assets/manor/classic/land-arid.png","land","","","","","201","101","32417","ab4b9df32f0aab396c82bde3f0a441c6092ef73527ca124be0d01144b73cdd52","module/nc/main/farmui2_v_4.swf","65:com.qzone.ui.FarmlandG","verified-jpexs-export"
"assets/manor/classic/land-fertile.png","land","","","","","201","101","25246","5df74d96a229826a14e920b274dfd2b48998cbe2070b10770b50aa5cbd971166","module/nc/main/farmui2_v_4.swf","56:com.qzone.ui.FarmlandS2","verified-jpexs-export"
"assets/manor/classic/land-grass.png","land","","","","","201","100","33437","9cf4679966e0c9c5860b4348bbcf1c052c5c88c4c8f51f61f9eeee632e9fce5a","module/nc/main/farmui2_v_4.swf","53:com.qzone.ui.Wasteland","verified-jpexs-export"
"assets/manor/classic/land-soil.png","land","","","","","200","100","30582","f0f2547ec400905faa688e305f8e59456b9e1fd0048b8afccc4745eb6cd6a602","module/nc/main/farmui2_v_4.swf","62:com.qzone.ui.FarmlandS","verified-jpexs-export"
"assets/manor/classic/level-blue.png","ui","","","","","32","32","855","e10087955fdce8c78f35d634534610aa5c8e69c9407b9616ae4bd3007726fbac","module/nc/main/farmui1_v_12.swf","271:LevelBlue","verified-jpexs-export"
"assets/manor/classic/nav-farm-1_up.png","navigation","","","","","49","40","6367","9c74a14d687f0e4491579977d2bd1d568d1286c5b69155fcd91593dea0e238d9","module/nc/main/farmui1_v_12.swf","295:ButtonFarm","verified-jpexs-export"
"assets/manor/classic/nav-farm-2_over.png","navigation","","","","","49","40","6138","3b5ed441a40ef99f8f99718a3a799282396eb516e70a12de42718bc0e6f9866a","module/nc/main/farmui1_v_12.swf","295:ButtonFarm","verified-jpexs-export"
"assets/manor/classic/nav-farm-3_down.png","navigation","","","","","49","40","6367","9c74a14d687f0e4491579977d2bd1d568d1286c5b69155fcd91593dea0e238d9","module/nc/main/farmui1_v_12.swf","295:ButtonFarm","verified-jpexs-export"
"assets/manor/classic/nav-pasture-1_up.png","navigation","","","","","51","47","7562","31bb9475b73dcc1061aa01e8d1ba54ac030c4dbf4649ca92a5ed30899e8a3b43","module/nc/main/farmui1_v_12.swf","292:aButtonMC","verified-jpexs-export"
"assets/manor/classic/nav-pasture-2_over.png","navigation","","","","","51","47","7314","548d7acd204d9eecce45dd9dbbd75721cf51857122bef6c827bed1981fa37c17","module/nc/main/farmui1_v_12.swf","292:aButtonMC","verified-jpexs-export"
"assets/manor/classic/nav-pasture-3_down.png","navigation","","","","","51","47","7562","31bb9475b73dcc1061aa01e8d1ba54ac030c4dbf4649ca92a5ed30899e8a3b43","module/nc/main/farmui1_v_12.swf","292:aButtonMC","verified-jpexs-export"
"assets/manor/classic/nav-shop-1_up.png","navigation","","","","","47","48","6816","d8e0f6bf083d95f50680d838f1fe6400195a2710ef8defa23bce0cfc97fe18d7","module/nc/main/farmui1_v_12.swf","301:ButtonShop","verified-jpexs-export"
"assets/manor/classic/nav-shop-2_over.png","navigation","","","","","47","48","6359","b34ee56d1a581acf6fb7f23c353157c6b1d45beef9fb976e0f3e4cf08f60a811","module/nc/main/farmui1_v_12.swf","301:ButtonShop","verified-jpexs-export"
"assets/manor/classic/nav-shop-3_down.png","navigation","","","","","47","48","6816","d8e0f6bf083d95f50680d838f1fe6400195a2710ef8defa23bce0cfc97fe18d7","module/nc/main/farmui1_v_12.swf","301:ButtonShop","verified-jpexs-export"
"assets/manor/classic/nav-warehouse-1_up.png","navigation","","","","","48","47","5443","a11f10e982c14a4b8486059939a9cecce56656976e60d2ab6888f2e9228113d2","module/nc/main/farmui1_v_12.swf","298:ButtonWarehouse","verified-jpexs-export"
"assets/manor/classic/nav-warehouse-2_over.png","navigation","","","","","48","47","5048","0387cc0ce6cb2ed9055ab1991b0413e8ac80edae25d95ebb39753f5789bce6f3","module/nc/main/farmui1_v_12.swf","298:ButtonWarehouse","verified-jpexs-export"
"assets/manor/classic/nav-warehouse-3_down.png","navigation","","","","","48","47","5443","a11f10e982c14a4b8486059939a9cecce56656976e60d2ab6888f2e9228113d2","module/nc/main/farmui1_v_12.swf","298:ButtonWarehouse","verified-jpexs-export"
"assets/manor/classic/reclaim.png","ui","","","","","78","87","9249","8c76a5281c43c54eeec484060dbde1c8e4b4c60588e52e1fb380a8c2fd0dfff3","module/nc/main/farmui1_v_12.swf","261:Reclaim","verified-jpexs-export"
"assets/manor/classic/sunny.png","farm-status","","","","","60","60","3622","6de451576c5e8a4e8154e38f9ed2be3bff0c8be13c4574bbf1c2c97efce60ef2","module/nc/main/farmui1_v_12.swf","286:Sunny","verified-jpexs-export"
